id,lat,lon
13280668811,39.143,-94.6734
13280668812,39.14,-94.6592
13280668813,39.14,-94.6592
13280668814,39.14,-94.6592
13280879896,39.1319,-94.6267
13280879897,39.1317,-94.6268
13280879898,39.1257,-94.6267
13280879899,39.1253,-94.627
13280879900,39.1292,-94.6496
13280887001,39.129,-94.65
13280887002,39.1287,-94.6499
13280887003,39.1287,-94.6499
13280887004,39.1287,-94.6867
13280887005,39.1287,-94.6863
13280887006,39.1284,-94.6863
13280887007,39.1284,-94.6866
13280951720,39.0574,-94.6075
13288398424,39.0152,-95.6703
13288405081,39.03,-95.6699
13288405082,39.0299,-95.6702
13288405083,39.0297,-95.6698
13288405084,39.0371,-95.6828
13288405085,39.0368,-95.683
13288405086,39.037,-95.6831
13288405087,39.0369,-95.6827
13288405088,39.0487,-95.6612
13288422867,39.0154,-95.6701
13288425918,39.0296,-95.6701
13288445726,39.0299,-95.651
13288445727,39.0297,-95.6513
13288445728,39.0296,-95.6967
13288445729,39.0298,-95.6971
13289427700,37.6789,-97.2806
13291107720,39.2083,-94.7121
13293624834,38.8345,-97.6202
13293706244,38.8273,-97.6249
13294553580,37.7226,-97.298
13295904831,38.8273,-97.6381
13295921377,38.8488,-97.616
13295921378,38.7811,-97.6113
13296686401,37.7481,-100.02
13296686402,37.7655,-100.032
13296687401,37.7481,-100.019
13297188701,37.7654,-100.016
13297189701,37.7798,-100.016
13298520601,38.0473,-96.6394
13298829656,38.8272,-97.592
13298829657,38.8272,-97.594
13298829658,37.7223,-97.2992
13299981372,37.6658,-97.3354
13300336939,38.8058,-97.5944
13300336940,38.8405,-97.5939
13300336941,38.8594,-97.594
13300336942,38.8697,-97.6122
13300340775,38.8483,-97.6159
13300353027,38.7898,-97.5942
13300353028,38.7856,-97.6127
13304924562,38.8417,-97.6258
13304924563,38.8416,-97.6258
13305529801,37.7813,-97.3315
13305534201,37.7815,-97.3269
13305585402,37.6202,-97.2923
13305587401,37.6202,-97.2926
13305587601,37.6205,-97.2916
13305587602,37.6065,-97.2874
13305587603,37.606,-97.2871
13305587701,37.6205,-97.292
13305588501,37.6134,-97.2918
13305588701,37.6133,-97.292
13305590101,37.6099,-97.2805
13305590201,37.6101,-97.2803
13305592901,37.7731,-97.3357
13305597101,37.6242,-97.291
13305597401,37.6247,-97.2903
13305597901,37.6913,-97.2447
13305598101,37.7178,-97.2442
13305598501,37.7229,-97.2417
13305598901,37.722,-97.2417
13305598902,37.7179,-97.2424
13305606801,37.7194,-97.2445
13305606901,37.7199,-97.2445
13305606902,37.7212,-97.2444
13305620401,37.4813,-100.85
13305620801,37.169,-100.924
13305898601,37.5787,-97.3706
13305899701,37.5645,-97.3303
13305903801,37.5641,-97.3789
13305909201,37.554,-97.3703
13305913401,37.5536,-97.3339
13305916201,37.5443,-97.2747
13305925501,37.5623,-97.2751
13305943201,37.5771,-97.2428
13305947801,37.584,-97.2442
13305954601,37.5911,-97.2801
13305955802,37.5782,-97.2772
13305957501,37.5775,-97.2774
13305962101,37.5844,-97.2795
13305963501,37.5768,-97.2796
13305965201,37.5771,-97.2786
13305967201,37.5685,-97.2807
13305979601,37.566,-97.2764
13305985101,37.5723,-97.3342
13305996301,37.577,-97.2793
13306353701,38.6304,-95.2678
13306357201,38.5793,-95.267
13306359201,38.6231,-95.234
13306362101,38.4297,-95.516
13306871561,37.7521,-97.4504
13307219001,37.5626,-97.2266
13307222601,37.5483,-97.2299
13307229501,37.5196,-97.2618
13307416202,37.7004,-97.2444
13307421901,37.6982,-97.2443
13307421902,37.6992,-97.2443
13307423701,37.6805,-97.2443
13307424101,37.6778,-97.2444
13307424201,37.6791,-97.2434
13307424802,37.634,-97.2806
13307425201,37.6665,-97.2443
13307425801,37.6845,-97.2451
13307425802,37.6339,-97.2804
13307429101,37.7221,-97.2444
13307431401,37.6337,-97.2804
13307637630,37.3578,-95.6974
13308299201,39.8048,-94.8146
13308299202,39.8064,-94.8127
13308299203,39.8064,-94.8138
13308739501,37.7522,-97.4444
13308740001,37.7521,-97.4547
13308847701,37.7819,-97.3206
13310071001,37.5745,-101.363
13310071002,37.5764,-101.353
13310071003,37.5764,-101.353
13310072401,37.5764,-101.353
13310336401,37.5766,-101.363
13310336402,37.5766,-101.363
13310337401,37.5765,-101.36
13311027402,37.6841,-97.2508
13311032401,37.6859,-97.2522
13311034001,37.6842,-97.2504
13311034401,37.6821,-97.2501
13311131901,37.6461,-97.285
13311135501,37.6484,-97.2805
13311145301,37.6504,-97.2886
13311160601,37.6578,-97.2986
13311163101,37.6607,-97.3078
13311163102,37.6574,-97.3169
13311175202,37.6499,-97.3081
13311177001,37.6496,-97.3336
13311197001,37.6501,-97.3115
13311229286,38.9566,-94.7424
13311229287,38.9564,-94.7423
13311229288,38.9567,-94.7422
13311234580,38.9711,-94.7126
13311234581,38.9713,-94.7133
13311234582,38.9711,-94.7126
13312416036,37.6993,-97.236
13312502187,38.0577,-97.8994
13312746487,37.68,-97.4069
13314181509,39.088,-94.7346
13314181510,39.0876,-94.6352
13314181511,39.0873,-94.6352
13314181512,39.0873,-94.6354
